,org_id,start_date,churn_date,base_growth,common_base_growth,10/21/15,1/21/16,4/21/16,7/21/16,10/21/16,1/21/17,4/21/17,7/21/17,10/21/17,1/21/18,4/21/18,7/21/18,10/21/18,1/21/19,4/21/19,7/21/19,10/21/19,1/21/20,4/21/20,7/21/20,10/21/20,1/21/21,4/4/21
124,3330,1/15/18,,5.978723404,0.411389206,0,0,0,0,0,0,0,0,0,154,235,647,1013,1412,1764,2423,3026,4053,4450,5069,5463,6241,7025
125,3607,8/8/18,,0.420618557,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,7,19,43,81,157,194,254,289,371,409,408
126,3622,12/7/17,12/18/19,0.013513514,0.411389206,0,0,0,0,0,0,0,0,0,0,0,1,6,9,10,10,10,0,0,0,0,0,0
127,3897,9/17/18,,0.082795699,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,9,34,58,65,69,69,69,68,69,76,77
128,3925,5/18/18,4/15/19,0.187311178,0.411389206,0,0,0,0,0,0,0,0,0,0,0,36,55,61,0,0,0,0,0,0,0,0,0
129,4370,2/15/19,4/1/19,0.181818182,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,4605,7/15/18,4/4/19,0.061068702,0.411389206,0,0,0,0,0,0,0,0,0,0,0,9,10,9,0,0,0,0,0,0,0,0,0
131,5088,5/4/18,12/2/20,0.008492569,0.411389206,0,0,0,0,0,0,0,0,0,0,0,20,31,31,69,101,152,128,57,58,26,0,0
132,5127,2/3/19,,0.102402023,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,21,16,20,25,41,66,81
133,5210,4/4/18,,0.028284672,0.411389206,0,0,0,0,0,0,0,0,0,0,0,8,16,23,25,26,35,37,37,38,38,38,31
134,5293,11/18/15,,0.010692464,0.411389206,0,0,0,0,0,1,2,2,2,2,4,12,19,23,19,21,21,26,30,18,24,19,21
135,5340,3/7/19,,0.031620553,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,22,39,38,23,20,21,24
136,5436,4/10/18,7/11/18,0.021978022,0.411389206,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
137,5571,10/29/19,3/10/21,0.01609658,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,41,42,40,8,0
