Unnamed: 0,org_id,base_growth,10/21/15,1/21/16,4/21/16,7/21/16,10/21/16,1/21/17,4/21/17,7/21/17,10/21/17,1/21/18,4/21/18,7/21/18,10/21/18,1/21/19,4/21/19,7/21/19,10/21/19,1/21/20,4/21/20,7/21/20,10/21/20,1/21/21,4/4/21,age
153,7960,0.133895131,0,0,0,0,0,0,0,0,0,0,0,16,29,26,30,32,34,26,39,85,123,130,143,
154,7963,0.508333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,120,122,
156,8212,0.012682927,0,0,0,0,0,0,0,0,0,0,0,18,24,21,17,27,24,39,31,13,13,13,13,
157,8214,0.039548023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,10,16,17,19,23,28,
161,8742,2.031313819,0,0,0,0,0,0,148,495,889,1351,1846,2611,4237,6522,9574,6532,7858,8896,8943,9010,9017,2116,2984,
164,8934,0.017907634,0,0,0,0,0,0,0,0,0,0,0,3,6,6,11,14,14,16,17,17,17,19,19,
165,9427,0.0835604,0,0,0,0,0,0,0,0,0,0,1,65,107,105,106,123,182,74,91,92,92,92,92,
166,9634,0.197628459,0,0,0,0,0,0,0,0,0,0,0,13,36,40,42,65,96,127,156,166,160,187,200,
167,9719,0.060747664,0,0,0,0,0,0,0,0,0,0,9,10,18,34,37,37,38,0,0,0,0,0,0,
168,10027,0.03021148,0,0,0,0,0,0,0,0,0,0,0,3,6,14,13,11,18,22,22,21,28,26,30,
170,10465,0.010373444,0,0,0,0,0,0,0,0,0,0,0,0,21,21,23,24,22,23,23,20,22,21,10,
172,10592,0.047156727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,20,23,30,34,34,34,34,
174,10619,0.181073703,0,0,0,0,0,0,0,0,0,0,20,26,45,44,53,98,127,150,152,167,194,197,199,
175,10722,0.047735618,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,30,25,31,36,37,39,39,39,
176,10887,0.09039548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,24,25,38,46,48,
179,11298,0.766590389,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,42,36,193,219,228,204,305,670,
180,11328,0.311918063,0,0,0,0,0,0,0,0,0,0,0,22,37,58,91,86,114,198,236,240,338,335,335,
181,11446,0.068728522,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,34,38,43,47,48,48,54,60,
182,11671,0.611847922,0,0,0,0,0,0,0,0,0,0,389,453,470,471,497,542,635,668,693,692,692,692,692,
183,11827,0.389036251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,6,438,439,440,
185,12274,0.59212051,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,29,43,65,111,129,228,356,511,
188,12639,0.107648725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,53,53,62,63,76,76,
189,12810,0.141074856,0,0,0,0,0,0,0,0,0,0,0,8,12,23,26,37,51,56,63,75,87,120,147,
191,12975,0.784848485,0,0,0,0,0,0,0,0,119,205,214,224,261,606,610,633,641,920,946,964,978,992,1036,
192,13028,0.044378698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,17,21,25,27,30,30,
193,13038,0.05375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,12,14,0,11,12,29,43,
194,13328,0.057553957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,27,24,25,28,33,40,
195,13382,0.021074816,0,0,0,0,0,0,0,0,0,0,0,0,20,19,19,19,19,19,19,19,19,20,20,
196,13507,0.38791423,0,0,0,0,0,0,0,0,0,0,0,14,43,33,67,77,172,193,269,296,349,359,398,
200,14504,0.411158798,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,61,87,111,135,164,248,351,479,
202,14731,0.054263566,0,0,0,0,0,0,0,0,0,0,0,15,20,27,23,23,28,41,31,42,45,49,56,
203,14995,0.218099548,0,0,0,0,0,0,0,0,0,0,10,21,32,46,62,85,143,162,173,173,215,227,241,
205,15287,0.051282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,22,20,24,26,32,36,
206,15437,0.911908646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,188,219,219,314,386,559,
209,16213,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,
210,16493,0.046606705,0,0,0,0,0,0,0,0,0,0,5,9,44,142,105,108,111,112,104,53,56,77,57,
212,16662,0.053805774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,31,34,31,36,41,41,41,
213,16902,0.028089888,0,0,0,0,0,0,0,0,0,0,0,14,16,18,19,26,27,25,25,25,25,0,0,
214,17017,0.195560254,0,0,0,0,0,0,0,0,0,0,0,0,177,185,185,185,185,185,185,185,185,185,185,
215,17146,0.001893939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,8,0,0,0,
216,17341,0.00916497,0,0,0,0,0,0,0,0,0,0,0,0,17,27,32,42,47,48,49,49,27,27,9,
219,17556,0.005499542,0,0,0,0,0,0,0,0,0,0,8,10,6,6,6,6,6,6,6,6,6,6,6,
222,17884,0.160146699,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,22,29,44,66,71,101,119,131,
224,18147,0.025824964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,14,16,17,18,19,18,
227,18370,0.123555556,0,0,0,0,0,0,0,0,0,0,0,0,28,31,83,123,139,153,142,136,138,140,139,
228,18488,0.069952305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,10,50,21,20,44,
229,18501,0.034638554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,22,32,31,24,24,23,
