org_id,start_date,churn_date,age,base_growth,common_base_growth,2016,2017,2018,2019,2020,2021
2726,6/11/18,10/2/20,844,0.028469751,0.411389206,0,0,24,21,0,0
2828,12/1/15,4/2/18,853,0.180751174,0.411389206,150,154,0,0,0,0
3323,3/15/19,,none,0.105193076,0.411389206,0,0,0,57,71,79
3330,1/15/18,,none,5.978723404,0.411389206,0,0,1013,3026,5463,7025
3607,8/8/18,,none,0.420618557,0.411389206,0,0,7,157,371,408
3622,12/7/17,12/18/19,741,0.013513514,0.411389206,0,0,6,10,0,0
3897,9/17/18,,none,0.082795699,0.411389206,0,0,9,69,69,77
3925,5/18/18,4/15/19,332,0.187311178,0.411389206,0,0,55,0,0,0
4370,2/15/19,4/1/19,45,0.181818182,0.411389206,0,0,0,0,0,0
4605,7/15/18,4/4/19,263,0.061068702,0.411389206,0,0,10,0,0,0
5088,5/4/18,12/2/20,943,0.008492569,0.411389206,0,0,31,152,26,0
5127,2/3/19,,none,0.102402023,0.411389206,0,0,0,21,41,81
5210,4/4/18,,none,0.028284672,0.411389206,0,0,16,35,38,31
5293,11/18/15,,none,0.010692464,0.411389206,0,2,19,21,24,21
5340,3/7/19,,none,0.031620553,0.411389206,0,0,0,22,20,24
5436,4/10/18,7/11/18,92,0.021978022,0.411389206,0,0,0,0,0,0
5571,10/29/19,3/10/21,498,0.01609658,0.411389206,0,0,0,0,40,0
5768,10/18/18,,none,0.047830923,0.411389206,0,0,15,41,43,43
5803,1/7/20,,none,0.057395144,0.411389206,0,0,0,0,14,26
5881,10/21/15,,none,0.28062249,0.411389206,53,98,470,825,946,559
6045,1/16/17,6/16/17,151,0.046666667,0.411389206,0,0,0,0,0,0
6209,10/31/18,9/12/19,316,0.076190476,0.411389206,0,0,0,0,0,0
6416,3/1/19,3/1/21,731,0.083561644,0.411389206,0,0,0,28,60,0
6594,4/20/16,,none,0.460220995,0.411389206,0,0,0,192,544,833
6631,1/5/21,,none,0.471910112,0.411389206,0,0,0,0,0,42
6739,9/13/18,,none,0.026766595,0.411389206,0,0,3,12,22,25
7165,7/18/18,,none,0.181634712,0.411389206,0,0,15,79,158,180
7171,1/10/19,2/17/21,769,0.024739583,0.411389206,0,0,0,19,19,0
7181,4/10/17,,none,0.021993127,0.411389206,0,7,16,130,233,32
7676,1/5/21,,none,0.157303371,0.411389206,0,0,0,0,0,14
7805,11/26/15,1/27/17,428,0.088992974,0.411389206,36,0,0,0,0,0
7845,4/4/18,5/8/18,34,0.151515152,0.411389206,0,0,0,0,0,0
7960,5/2/18,,none,0.133895131,0.411389206,0,0,29,34,123,143
7963,8/7/20,,none,0.508333333,0.411389206,0,0,0,0,52,122
7979,3/30/18,11/3/18,218,0.02764977,0.411389206,0,0,6,0,0,0
8212,6/14/18,,none,0.012682927,0.411389206,0,0,24,24,13,13
8214,4/27/19,,none,0.039548023,0.411389206,0,0,0,6,19,28
8481,8/16/16,10/31/19,1171,1.094190141,0.411389206,0,1,400,0,0,0
8488,3/20/19,1/21/21,673,0.010736196,0.411389206,0,0,0,7,7,0
8552,8/13/18,8/7/19,359,0.505586592,0.411389206,0,0,45,0,0,0
8742,3/27/17,,none,2.031313819,0.411389206,0,889,4237,7858,9017,2984
8791,4/5/17,1/5/18,275,0.032846715,0.411389206,0,9,0,0,0,0
8820,12/26/19,8/17/20,235,0.038461539,0.411389206,0,0,0,0,0,0
8934,5/9/18,,none,0.017907634,0.411389206,0,0,6,14,17,19
9427,3/30/18,,none,0.0835604,0.411389206,0,0,107,182,92,92
9634,6/27/18,,none,0.197628459,0.411389206,0,0,36,96,160,200
9719,2/1/18,,none,0.060747664,0.411389206,0,0,18,38,0,0
10027,7/16/18,,none,0.03021148,0.411389206,0,0,6,18,28,30
10120,4/26/19,3/12/20,321,0.146875,0.411389206,0,0,0,47,0,0
10465,8/14/18,,none,0.010373444,0.411389206,0,0,21,22,22,10
10585,7/1/19,3/10/21,618,0.01458671,0.411389206,0,0,0,11,10,0
10592,4/14/19,,none,0.047156727,0.411389206,0,0,0,20,34,34
10616,11/21/17,1/1/18,41,0.15,0.411389206,0,0,0,0,0,0
10619,4/1/18,,none,0.181073703,0.411389206,0,0,45,127,194,199
10722,1/8/19,,none,0.047735618,0.411389206,0,0,0,25,39,39
10887,10/21/19,,none,0.09039548,0.411389206,0,0,0,20,38,48
10911,5/7/18,4/10/19,338,0.080118694,0.411389206,0,0,34,0,0,0
10980,5/25/17,8/2/17,69,0.014705882,0.411389206,0,0,0,0,0,0
11298,11/12/18,,none,0.766590389,0.411389206,0,0,0,36,204,670
11328,4/26/18,,none,0.311918063,0.411389206,0,0,37,114,338,335
11446,11/13/18,,none,0.068728522,0.411389206,0,0,0,38,48,60
11671,2/28/18,,none,0.611847922,0.411389206,0,0,470,635,692,692
11827,2/28/18,,none,0.389036251,0.411389206,0,0,0,1,438,440
11930,8/12/18,9/30/18,49,1.375,0.411389206,0,0,0,0,0,0
12274,11/23/18,,none,0.59212051,0.411389206,0,0,0,43,228,511
12368,4/9/19,6/9/20,427,0.011737089,0.411389206,0,0,0,14,0,0
12458,5/29/19,3/3/20,279,0.071942446,0.411389206,0,0,0,20,0,0
12639,4/29/19,,none,0.107648725,0.411389206,0,0,0,53,63,76
12810,5/28/18,,none,0.141074856,0.411389206,0,0,12,51,87,147
12887,8/31/19,12/24/19,115,0.324561404,0.411389206,0,0,0,37,0,0
12975,8/23/17,,none,0.784848485,0.411389206,0,119,261,641,978,1036
13028,5/29/19,,none,0.044378698,0.411389206,0,0,0,12,27,30
13038,1/25/19,,none,0.05375,0.411389206,0,0,0,12,12,43
13328,5/10/19,,none,0.057553957,0.411389206,0,0,0,15,28,40
13382,8/29/18,,none,0.021074816,0.411389206,0,0,20,19,19,20
13507,6/13/18,,none,0.38791423,0.411389206,0,0,43,172,349,398
13863,6/29/18,9/25/18,88,0.057471264,0.411389206,0,0,0,0,0,0
13871,10/30/18,2/26/19,119,0.093220339,0.411389206,0,0,0,0,0,0
14483,8/22/17,10/22/19,791,0.019736842,0.411389206,0,0,9,0,0,0
14504,1/25/18,,none,0.411158798,0.411389206,0,0,1,87,248,479
14663,7/23/18,7/10/20,718,0.013947001,0.411389206,0,0,48,20,0,0
14731,6/7/18,,none,0.054263566,0.411389206,0,0,20,28,45,56
14995,3/26/18,,none,0.218099548,0.411389206,0,0,32,143,215,241
15051,7/4/18,7/24/19,385,0.052083333,0.411389206,0,0,21,0,0,0
15287,5/3/19,,none,0.051282051,0.411389206,0,0,0,23,26,36
15437,7/31/19,,none,0.911908646,0.411389206,0,0,0,187,314,559
15711,7/27/18,1/28/20,550,0.016393443,0.411389206,0,0,16,16,0,0
15852,7/7/18,11/8/18,124,0.138211382,0.411389206,0,0,17,0,0,0
16213,11/27/20,,none,0.125,0.411389206,0,0,0,0,0,16
16493,11/28/17,,none,0.046606705,0.411389206,0,0,44,111,56,57
16494,7/12/18,4/15/20,643,0.087227414,0.411389206,0,0,38,57,0,0
16662,3/4/19,,none,0.053805774,0.411389206,0,0,0,31,41,41
16902,7/2/18,,none,0.028089888,0.411389206,0,0,16,27,25,0
17017,9/1/18,,none,0.195560254,0.411389206,0,0,177,185,185,185
17146,9/3/19,,none,0.001893939,0.411389206,0,0,0,6,0,0
